dateTime,value,discharge_m3s
4/21/1953,42,1.189307557
4/22/1953,31,0.877822244
4/23/1953,28,0.792871705
4/24/1953,29,0.821188551
4/25/1953,4060,114.9663972
4/26/1953,1820,51.5366608
4/27/1953,594,16.82020688
4/28/1953,295,8.353469745
4/29/1953,209,5.918220938
4/30/1953,275,7.787132813
5/1/1953,233,6.597825256
5/2/1953,156,4.417428068
5/3/1953,118,3.341387898
5/4/1953,108,3.058219432
5/5/1953,181,5.125349233
5/6/1953,178,5.040398693
5/7/1953,114,3.228120511
5/8/1953,73,2.067129801
5/9/1953,45,1.274258097
5/10/1953,34,0.962772784
5/11/1953,26,0.736238011
5/12/1953,24,0.679604318
5/13/1953,22,0.622970625
5/14/1953,26,0.736238011
5/15/1953,23,0.651287472
5/16/1953,22,0.622970625
5/17/1953,22,0.622970625
5/18/1953,25,0.707921165
5/19/1953,85,2.40693196
5/20/1953,120,3.398021591
5/21/1953,71,2.010496108
5/22/1953,35,0.991089631
5/23/1953,23,0.651287472
5/24/1953,16,0.453069545
5/25/1953,14,0.396435852
5/26/1953,11,0.311485313
5/27/1953,10,0.283168466
5/28/1953,9.7,0.274673412
5/29/1953,9.4,0.266178358
5/30/1953,8.7,0.246356565
5/31/1953,8.3,0.235029827
6/1/1953,7.9,0.223703088
6/2/1953,7.6,0.215208034
6/3/1953,7.2,0.203881295
6/4/1953,6.9,0.195386241
6/5/1953,6.9,0.195386241
6/6/1953,6.9,0.195386241
6/7/1953,6.5,0.184059503
6/8/1953,6.5,0.184059503
6/9/1953,6.3,0.178396134
6/10/1953,6.3,0.178396134
6/11/1953,6.5,0.184059503
6/12/1953,6.9,0.195386241
6/13/1953,6.9,0.195386241
6/14/1953,6.9,0.195386241
6/15/1953,6.5,0.184059503
6/16/1953,9.7,0.274673412
6/17/1953,9.7,0.274673412
6/18/1953,9.7,0.274673412
6/19/1953,8.7,0.246356565
6/20/1953,11,0.311485313
6/21/1953,8.3,0.235029827
6/22/1953,23,0.651287472
6/23/1953,23,0.651287472
6/24/1953,15,0.424752699
6/25/1953,20,0.566336932
6/26/1953,50,1.41584233
6/27/1953,1200,33.98021591
6/28/1953,1600,45.30695455
6/29/1953,851,24.09763645
6/30/1953,427,12.09129349
7/1/1953,233,6.597825256
7/2/1953,120,3.398021591
7/3/1953,65,1.840595028
7/4/1953,38,1.07604017
7/5/1953,25,0.707921165
7/6/1953,21,0.594653778
7/7/1953,16,0.453069545
7/8/1953,14,0.396435852
7/9/1953,14,0.396435852
7/10/1953,13,0.368119006
7/11/1953,12,0.339802159
7/12/1953,11,0.311485313
7/13/1953,11,0.311485313
7/14/1953,12,0.339802159
7/15/1953,14,0.396435852
7/16/1953,98,2.775050966
7/17/1953,225,6.371290483
7/18/1953,229,6.48455787
7/19/1953,161,4.559012301
7/20/1953,127,3.596239517
7/21/1953,552,15.63089932
7/22/1953,361,10.22238162
7/23/1953,192,5.436834546
7/24/1953,225,6.371290483
7/25/1953,203,5.748319858
7/26/1953,89,2.520199347
7/27/1953,46,1.302574943
7/28/1953,31,0.877822244
7/29/1953,48,1.359208636
7/30/1953,110,3.114853125
7/31/1953,295,8.353469745
8/1/1953,273,7.73049912
8/2/1953,148,4.190893296
8/3/1953,144,4.077625909
8/4/1953,64,1.812278182
8/5/1953,45,1.274258097
8/6/1953,25,0.707921165
8/7/1953,21,0.594653778
8/8/1953,17,0.481386392
8/9/1953,22,0.622970625
8/10/1953,28,0.792871705
8/11/1953,17,0.481386392
8/12/1953,14,0.396435852
8/13/1953,13,0.368119006
8/14/1953,13,0.368119006
8/15/1953,215,6.088122017
8/16/1953,102,2.888318352
8/17/1953,196,5.550101932
8/18/1953,108,3.058219432
8/19/1953,129,3.65287321
8/20/1953,167,4.728913381
8/21/1953,102,2.888318352
8/22/1953,295,8.353469745
8/23/1953,394,11.15683756
8/24/1953,231,6.541191563
8/25/1953,118,3.341387898
8/26/1953,75,2.123763494
8/27/1953,135,3.82277429
8/28/1953,209,5.918220938
8/29/1953,112,3.171486818
8/30/1953,515,14.58317599
8/31/1953,444,12.57267989
9/1/1953,183,5.181982926
9/2/1953,89,2.520199347
9/3/1953,51,1.444159176
9/4/1953,35,0.991089631
9/5/1953,29,0.821188551
9/6/1953,24,0.679604318
9/7/1953,22,0.622970625
9/8/1953,17,0.481386392
9/9/1953,14,0.396435852
9/10/1953,12,0.339802159
9/11/1953,11,0.311485313
9/12/1953,10,0.283168466
9/13/1953,9.7,0.274673412
9/14/1953,9.4,0.266178358
9/15/1953,9,0.254851619
9/16/1953,8.3,0.235029827
9/17/1953,8.3,0.235029827
9/18/1953,7.9,0.223703088
9/19/1953,7.9,0.223703088
9/20/1953,7.9,0.223703088
9/21/1953,7.6,0.215208034
9/22/1953,7.2,0.203881295
9/23/1953,7.2,0.203881295
9/24/1953,6.9,0.195386241
9/25/1953,6.5,0.184059503
9/26/1953,6.5,0.184059503
9/27/1953,6.3,0.178396134
9/28/1953,6.3,0.178396134
9/29/1953,6,0.16990108
9/30/1953,5.8,0.16423771
10/1/1953,5.9,0.167069395
10/2/1953,6.5,0.184059503
10/3/1953,6.5,0.184059503
10/4/1953,5.9,0.167069395
10/5/1953,5.9,0.167069395
10/6/1953,5.5,0.155742656
10/7/1953,5.5,0.155742656
10/8/1953,4.6,0.130257494
10/9/1953,4.6,0.130257494
10/10/1953,4.6,0.130257494
10/11/1953,4.6,0.130257494
10/12/1953,4.6,0.130257494
10/13/1953,4.1,0.116099071
10/14/1953,4.1,0.116099071
10/15/1953,4.1,0.116099071
10/16/1953,4.1,0.116099071
10/17/1953,3.7,0.104772332
10/18/1953,3.7,0.104772332
10/19/1953,3.3,0.093445594
10/20/1953,3.3,0.093445594
10/21/1953,3.3,0.093445594
10/22/1953,3.3,0.093445594
10/23/1953,3.3,0.093445594
10/24/1953,3.3,0.093445594
10/25/1953,3.7,0.104772332
10/26/1953,3.7,0.104772332
10/27/1953,3.7,0.104772332
10/28/1953,3.7,0.104772332
10/29/1953,3.7,0.104772332
10/30/1953,4.1,0.116099071
10/31/1953,4.1,0.116099071
11/1/1953,4.6,0.130257494
11/2/1953,4.6,0.130257494
11/3/1953,4.6,0.130257494
11/4/1953,5.9,0.167069395
11/5/1953,12,0.339802159
11/6/1953,13,0.368119006
11/7/1953,13,0.368119006
11/8/1953,13,0.368119006
11/9/1953,14,0.396435852
11/10/1953,14,0.396435852
11/11/1953,12,0.339802159
11/12/1953,11,0.311485313
11/13/1953,10,0.283168466
11/14/1953,8.9,0.252019935
11/15/1953,8.3,0.235029827
11/16/1953,7.7,0.218039719
11/17/1953,7.1,0.201049611
11/18/1953,7.1,0.201049611
11/19/1953,9.8,0.277505097
11/20/1953,443,12.54436304
11/21/1953,311,8.80653929
11/22/1953,849,24.04100276
11/23/1953,716,20.27486216
11/24/1953,283,8.013667586
11/25/1953,132,3.73782375
11/26/1953,124,3.511288977
11/27/1953,90,2.548516193
11/28/1953,62,1.755644489
11/29/1953,48,1.359208636
11/30/1953,42,1.189307557
12/1/1953,44,1.24594125
12/2/1953,40,1.132673864
12/3/1953,36,1.019406477
12/4/1953,299,8.466737131
12/5/1953,943,26.70278634
12/6/1953,1640,46.43962841
12/7/1953,1190,33.69704744
12/8/1953,544,15.40436455
12/9/1953,350,9.910896307
12/10/1953,557,15.77248355
12/11/1953,898,25.42852824
12/12/1953,1790,50.6871554
12/13/1953,1110,31.43169972
12/14/1953,760,21.52080341
12/15/1953,470,13.3089179
12/16/1953,300,8.495053978
12/17/1953,221,6.258023097
12/18/1953,179,5.06871554
12/19/1953,154,4.360794375
12/20/1953,408,11.55327341
12/21/1953,632,17.89624705
12/22/1953,407,11.52495656
12/23/1953,370,10.47723324
12/24/1953,234,6.626142103
12/25/1953,181,5.125349233
12/26/1953,160,4.530695455
12/27/1953,140,3.964358523
12/28/1953,192,5.436834546
12/29/1953,470,13.3089179
12/30/1953,420,11.89307557
12/31/1953,300,8.495053978
1/1/1954,196,5.550101932
1/2/1954,156,4.417428068
1/3/1954,138,3.90772483
1/4/1954,126,3.567922671
1/5/1954,217,6.14475571
1/6/1954,185,5.23861662
1/7/1954,128,3.624556364
1/8/1954,103,2.916635199
1/9/1954,94,2.66178358
1/10/1954,107,3.029902585
1/11/1954,234,6.626142103
1/12/1954,179,5.06871554
1/13/1954,118,3.341387898
1/14/1954,97,2.746734119
1/15/1954,94,2.66178358
1/16/1954,99,2.803367813
1/17/1954,108,3.058219432
1/18/1954,92,2.605149886
1/19/1954,78,2.208714034
1/20/1954,71,2.010496108
1/21/1954,72,2.038812955
1/22/1954,186,5.266933466
1/23/1954,318,9.004757216
1/24/1954,168,4.757230227
1/25/1954,120,3.398021591
1/26/1954,103,2.916635199
1/27/1954,94,2.66178358
1/28/1954,85,2.40693196
1/29/1954,76,2.152080341
1/30/1954,64,1.812278182
1/31/1954,64,1.812278182
2/1/1954,67,1.897228722
2/2/1954,62,1.755644489
2/3/1954,53,1.500792869
2/4/1954,45,1.274258097
2/5/1954,42,1.189307557
2/6/1954,38,1.07604017
2/7/1954,33,0.934455938
2/8/1954,31,0.877822244
2/9/1954,31,0.877822244
2/10/1954,29,0.821188551
2/11/1954,28,0.792871705
2/12/1954,28,0.792871705
2/13/1954,26,0.736238011
2/14/1954,23,0.651287472
2/15/1954,26,0.736238011
2/16/1954,45,1.274258097
2/17/1954,46,1.302574943
2/18/1954,38,1.07604017
2/19/1954,29,0.821188551
2/20/1954,142,4.020992216
2/21/1954,346,9.797628921
2/22/1954,154,4.360794375
2/23/1954,85,2.40693196
2/24/1954,127,3.596239517
2/25/1954,158,4.474061762
2/26/1954,95,2.690100426
2/27/1954,67,1.897228722
2/28/1954,56,1.585743409
3/1/1954,48,1.359208636
3/2/1954,39,1.104357017
3/3/1954,34,0.962772784
3/4/1954,33,0.934455938
3/5/1954,33,0.934455938
3/6/1954,128,3.624556364
3/7/1954,202,5.720003012
3/8/1954,118,3.341387898
3/9/1954,78,2.208714034
3/10/1954,62,1.755644489
3/11/1954,51,1.444159176
3/12/1954,45,1.274258097
3/13/1954,42,1.189307557
3/14/1954,42,1.189307557
3/15/1954,40,1.132673864
3/16/1954,34,0.962772784
3/17/1954,29,0.821188551
3/18/1954,25,0.707921165
3/19/1954,114,3.228120511
3/20/1954,241,6.824360029
3/21/1954,136,3.851091137
3/22/1954,79,2.237030881
3/23/1954,56,1.585743409
3/24/1954,46,1.302574943
3/25/1954,39,1.104357017
3/26/1954,42,1.189307557
3/27/1954,87,2.463565654
3/28/1954,432,12.23287773
3/29/1954,346,9.797628921
3/30/1954,179,5.06871554
3/31/1954,118,3.341387898
4/1/1954,83,2.350298267
4/2/1954,62,1.755644489
4/3/1954,48,1.359208636
4/4/1954,39,1.104357017
4/5/1954,33,0.934455938
4/6/1954,32,0.906139091
4/7/1954,28,0.792871705
4/8/1954,25,0.707921165
4/9/1954,21,0.594653778
4/10/1954,58,1.642377102
4/11/1954,94,2.66178358
4/12/1954,62,1.755644489
4/13/1954,38,1.07604017
4/14/1954,32,0.906139091
4/15/1954,22,0.622970625
4/16/1954,214,6.059805171
4/17/1954,734,20.7845654
4/18/1954,316,8.948123523
4/19/1954,112,3.171486818
4/20/1954,71,2.010496108
4/21/1954,53,1.500792869
4/22/1954,40,1.132673864
4/23/1954,33,0.934455938
4/24/1954,38,1.07604017
4/25/1954,33,0.934455938
4/26/1954,27,0.764554858
4/27/1954,27,0.764554858
4/28/1954,21,0.594653778
4/29/1954,18,0.509703239
4/30/1954,15,0.424752699
5/1/1954,12,0.339802159
5/2/1954,11,0.311485313
5/3/1954,13,0.368119006
5/4/1954,35,0.991089631
5/5/1954,62,1.755644489
5/6/1954,40,1.132673864
5/7/1954,23,0.651287472
5/8/1954,16,0.453069545
5/9/1954,13,0.368119006
5/10/1954,11,0.311485313
5/11/1954,10,0.283168466
5/12/1954,9.6,0.271841727
5/13/1954,9.6,0.271841727
5/14/1954,9.6,0.271841727
5/15/1954,9.6,0.271841727
5/16/1954,9,0.254851619
5/17/1954,9,0.254851619
5/18/1954,8.3,0.235029827
5/19/1954,7.7,0.218039719
5/20/1954,6.5,0.184059503
5/21/1954,5.9,0.167069395
5/22/1954,5.9,0.167069395
5/23/1954,5.9,0.167069395
5/24/1954,5.5,0.155742656
5/25/1954,5.5,0.155742656
5/26/1954,5.5,0.155742656
5/27/1954,5.9,0.167069395
5/28/1954,5.9,0.167069395
5/29/1954,7.1,0.201049611
5/30/1954,8.3,0.235029827
5/31/1954,5.9,0.167069395
6/1/1954,5.5,0.155742656
6/2/1954,5,0.141584233
6/3/1954,5,0.141584233
6/4/1954,4.6,0.130257494
6/5/1954,4.6,0.130257494
6/6/1954,4.6,0.130257494
6/7/1954,4.6,0.130257494
6/8/1954,4.6,0.130257494
6/9/1954,4.6,0.130257494
6/10/1954,4.6,0.130257494
6/11/1954,4.1,0.116099071
6/12/1954,4.1,0.116099071
6/13/1954,5.5,0.155742656
6/14/1954,10,0.283168466
6/15/1954,5.9,0.167069395
6/16/1954,4.6,0.130257494
6/17/1954,6.5,0.184059503
6/18/1954,6.5,0.184059503
6/19/1954,9,0.254851619
6/20/1954,11,0.311485313
6/21/1954,12,0.339802159
6/22/1954,13,0.368119006
6/23/1954,16,0.453069545
6/24/1954,11,0.311485313
6/25/1954,11,0.311485313
6/26/1954,40,1.132673864
6/27/1954,32,0.906139091
6/28/1954,16,0.453069545
6/29/1954,16,0.453069545
6/30/1954,12,0.339802159
7/1/1954,9,0.254851619
7/2/1954,7.1,0.201049611
7/3/1954,5.5,0.155742656
7/4/1954,5,0.141584233
7/5/1954,9.2,0.260514989
7/6/1954,120,3.398021591
7/7/1954,69,1.953862415
7/8/1954,54,1.529109716
7/9/1954,127,3.596239517
7/10/1954,1130,31.99803665
7/11/1954,420,11.89307557
7/12/1954,126,3.567922671
7/13/1954,59,1.670693949
7/14/1954,34,0.962772784
7/15/1954,22,0.622970625
7/16/1954,19,0.538020085
7/17/1954,54,1.529109716
7/18/1954,46,1.302574943
7/19/1954,39,1.104357017
7/20/1954,25,0.707921165
7/21/1954,16,0.453069545
7/22/1954,11,0.311485313
7/23/1954,9.6,0.271841727
7/24/1954,9.6,0.271841727
7/25/1954,21,0.594653778
7/26/1954,67,1.897228722
7/27/1954,39,1.104357017
7/28/1954,134,3.794457443
7/29/1954,187,5.295250313
7/30/1954,142,4.020992216
7/31/1954,88,2.4918825
8/1/1954,50,1.41584233
8/2/1954,23,0.651287472
8/3/1954,16,0.453069545
8/4/1954,11,0.311485313
8/5/1954,9,0.254851619
8/6/1954,6.5,0.184059503
8/7/1954,5.9,0.167069395
8/8/1954,5.9,0.167069395
8/9/1954,5.5,0.155742656
8/10/1954,5,0.141584233
8/11/1954,4.6,0.130257494
8/12/1954,4.1,0.116099071
8/13/1954,3.7,0.104772332
8/14/1954,3.7,0.104772332
8/15/1954,3.7,0.104772332
8/16/1954,5.5,0.155742656
8/17/1954,5,0.141584233
8/18/1954,4.6,0.130257494
8/19/1954,4.1,0.116099071
8/20/1954,3.7,0.104772332
8/21/1954,3.3,0.093445594
8/22/1954,4.6,0.130257494
8/23/1954,4.1,0.116099071
8/24/1954,4.1,0.116099071
8/25/1954,3.3,0.093445594
8/26/1954,3.3,0.093445594
8/27/1954,3.3,0.093445594
8/28/1954,3.7,0.104772332
8/29/1954,3.3,0.093445594
8/30/1954,2.8,0.07928717
8/31/1954,2.4,0.067960432
9/1/1954,2.4,0.067960432
9/2/1954,1.9,0.053802009
9/3/1954,1.9,0.053802009
9/4/1954,1.9,0.053802009
9/5/1954,1.9,0.053802009
9/6/1954,4.6,0.130257494
9/7/1954,4.1,0.116099071
9/8/1954,5.9,0.167069395
9/9/1954,5.9,0.167069395
9/10/1954,5,0.141584233
9/11/1954,3.7,0.104772332
9/12/1954,2.8,0.07928717
9/13/1954,2.4,0.067960432
9/14/1954,2.4,0.067960432
9/15/1954,1.9,0.053802009
9/16/1954,8.3,0.235029827
9/17/1954,16,0.453069545
9/18/1954,22,0.622970625
9/19/1954,17,0.481386392
9/20/1954,11,0.311485313
9/21/1954,7.7,0.218039719
9/22/1954,5.5,0.155742656
9/23/1954,4.6,0.130257494
9/24/1954,3.7,0.104772332
9/25/1954,3.3,0.093445594
9/26/1954,2.8,0.07928717
9/27/1954,2.8,0.07928717
9/28/1954,2.4,0.067960432
9/29/1954,2.4,0.067960432
9/30/1954,2.4,0.067960432
10/1/1954,2.4,0.067960432
10/2/1954,2.4,0.067960432
10/3/1954,2.4,0.067960432
10/4/1954,2.4,0.067960432
10/5/1954,2.4,0.067960432
10/6/1954,2.4,0.067960432
10/7/1954,5.4,0.152910972
10/8/1954,6.9,0.195386241
10/9/1954,5.9,0.167069395
10/10/1954,4.4,0.124594125
10/11/1954,37,1.047723324
10/12/1954,18,0.509703239
10/13/1954,17,0.481386392
10/14/1954,27,0.764554858
10/15/1954,20,0.566336932
10/16/1954,13,0.368119006
10/17/1954,8.2,0.232198142
10/18/1954,6.9,0.195386241
10/19/1954,5.4,0.152910972
10/20/1954,4.4,0.124594125
10/21/1954,3.9,0.110435702
10/22/1954,3.9,0.110435702
10/23/1954,3.9,0.110435702
10/24/1954,3.4,0.096277278
10/25/1954,3.4,0.096277278
10/26/1954,2.9,0.082118855
10/27/1954,2.9,0.082118855
10/28/1954,5.4,0.152910972
10/29/1954,20,0.566336932
10/30/1954,15,0.424752699
10/31/1954,9.7,0.274673412
11/1/1954,7.4,0.209544665
11/2/1954,6.4,0.181227818
11/3/1954,6.4,0.181227818
11/4/1954,42,1.189307557
11/5/1954,84,2.378615114
11/6/1954,42,1.189307557
11/7/1954,26,0.736238011
11/8/1954,20,0.566336932
11/9/1954,15,0.424752699
11/10/1954,13,0.368119006
11/11/1954,10,0.283168466
11/12/1954,8.9,0.252019935
11/13/1954,7.4,0.209544665
11/14/1954,6.9,0.195386241
11/15/1954,8.9,0.252019935
11/16/1954,21,0.594653778
11/17/1954,22,0.622970625
11/18/1954,17,0.481386392
11/19/1954,13,0.368119006
11/20/1954,12,0.339802159
11/21/1954,10,0.283168466
11/22/1954,8.9,0.252019935
11/23/1954,8.2,0.232198142
11/24/1954,7.4,0.209544665
11/25/1954,7.4,0.209544665
11/26/1954,6.9,0.195386241
11/27/1954,7.4,0.209544665
11/28/1954,9.7,0.274673412
11/29/1954,14,0.396435852
11/30/1954,14,0.396435852
12/1/1954,11,0.311485313
12/2/1954,9.7,0.274673412
12/3/1954,8.9,0.252019935
12/4/1954,8.2,0.232198142
12/5/1954,7.4,0.209544665
12/6/1954,7.4,0.209544665
12/7/1954,7.4,0.209544665
12/8/1954,7.4,0.209544665
12/9/1954,7.4,0.209544665
12/10/1954,7.4,0.209544665
12/11/1954,8.2,0.232198142
12/12/1954,16,0.453069545
12/13/1954,108,3.058219432
12/14/1954,67,1.897228722
12/15/1954,48,1.359208636
12/16/1954,33,0.934455938
12/17/1954,33,0.934455938
12/18/1954,118,3.341387898
12/19/1954,79,2.237030881
12/20/1954,53,1.500792869
12/21/1954,39,1.104357017
12/22/1954,32,0.906139091
12/23/1954,26,0.736238011
12/24/1954,24,0.679604318
12/25/1954,21,0.594653778
12/26/1954,20,0.566336932
12/27/1954,18,0.509703239
12/28/1954,358,10.13743108
12/29/1954,812,22.99327943
12/30/1954,358,10.13743108
12/31/1954,314,8.89148983
1/1/1955,1250,35.39605824
1/2/1955,786,22.25704142
1/3/1955,370,10.47723324
1/4/1955,223,6.31465679
1/5/1955,160,4.530695455
1/6/1955,128,3.624556364
1/7/1955,103,2.916635199
1/8/1955,85,2.40693196
1/9/1955,74,2.095446648
1/10/1955,72,2.038812955
1/11/1955,88,2.4918825
1/12/1955,74,2.095446648
1/13/1955,61,1.727327642
1/14/1955,48,1.359208636
1/15/1955,45,1.274258097
1/16/1955,880,24.918825
1/17/1955,943,26.70278634
1/18/1955,1000,28.31684659
1/19/1955,1020,28.88318352
1/20/1955,532,15.06456239
1/21/1955,300,8.495053978
1/22/1955,258,7.305746421
1/23/1955,241,6.824360029
1/24/1955,288,8.155251818
1/25/1955,217,6.14475571
1/26/1955,162,4.587329148
1/27/1955,138,3.90772483
1/28/1955,140,3.964358523
1/29/1955,152,4.304160682
1/30/1955,120,3.398021591
1/31/1955,103,2.916635199
2/1/1955,94,2.66178358
2/2/1955,86,2.435248807
2/3/1955,81,2.293664574
2/4/1955,76,2.152080341
2/5/1955,1280,36.24556364
2/6/1955,2790,79.00400199
2/7/1955,1710,48.42180767
2/8/1955,760,21.52080341
2/9/1955,370,10.47723324
2/10/1955,265,7.503964347
2/11/1955,239,6.767726335
2/12/1955,179,5.06871554
2/13/1955,140,3.964358523
2/14/1955,125,3.539605824
2/15/1955,117,3.313071051
2/16/1955,110,3.114853125
2/17/1955,103,2.916635199
2/18/1955,96,2.718417273
2/19/1955,87,2.463565654
2/20/1955,82,2.321981421
2/21/1955,76,2.152080341
2/22/1955,360,10.19406477
2/23/1955,494,13.98852222
2/24/1955,258,7.305746421
2/25/1955,158,4.474061762
2/26/1955,119,3.369704744
2/27/1955,105,2.973268892
2/28/1955,94,2.66178358
3/1/1955,89,2.520199347
3/2/1955,78,2.208714034
3/3/1955,71,2.010496108
3/4/1955,64,1.812278182
3/5/1955,59,1.670693949
3/6/1955,59,1.670693949
3/7/1955,52,1.472476023
3/8/1955,45,1.274258097
3/9/1955,39,1.104357017
3/10/1955,34,0.962772784
3/11/1955,35,0.991089631
3/12/1955,33,0.934455938
3/13/1955,32,0.906139091
3/14/1955,28,0.792871705
3/15/1955,24,0.679604318
3/16/1955,24,0.679604318
3/17/1955,22,0.622970625
3/18/1955,22,0.622970625
3/19/1955,20,0.566336932
